antibody,length,ENC
H3K4me3_K562,520.54215064,ENCFF001XGT
H3K4me3_WERI-Rb-1,800.303655064,ENCFF001XJU
H3K36me3_osteoblast,10812.3032961,ENCFF001TDD
H3K4me3_A549,841.871220939,ENCFF001WUL
H3K4me3_GM06990,930.241495514,ENCFF001WXM
H3K4me3_epithelial cell of proximal tubule,932.361527694,ENCFF001XIK
H3K27me3_mammary epithelial cell,15212.7573892,ENCFF001SWX
H3K4me3_HL-60,994.94240663,ENCFF001XDM
H3K36me3_fibroblast of lung,11950.1613849,ENCFF001TCO
H3K79me2_A549,12560.2355514,ENCFF001STF
H3K36me3_K562,253.856760749,ENCFF001XGS
H3K27ac_osteoblast,3771.33056163,ENCFF001TDC
H3K4me3_epithelial cell of esophagus,832.891712613,ENCFF001XCA
H3K27me3_GM06990,209.161488148,ENCFF001WXD
H3K9me3_mammary epithelial cell,9600.46867905,ENCFF001SWV
H3K4me3_fibroblast of lung,921.212982956,ENCFF001XIB
H3K4me1_keratinocyte,2019.91148213,ENCFF001TCA
H3K4me3_HepG2,831.03350408,ENCFF001XDC
H4K20me1_A549,27184.7188152,ENCFF001STH
H3K9me3_endothelial cell of umbilical vein,13491.5691856,ENCFF001SYI
H3K4me2_endothelial cell of umbilical vein,2539.14414209,ENCFF001SYN
H3K27me3_HeLa-S3,125.932579276,ENCFF001XCH
H3K9ac_HepG2,3481.86973463,ENCFF001SWQ
H3K9me1_keratinocyte,26662.9488061,ENCFF001TCF
H3K79me2_K562,9625.17254646,ENCFF001SZK
H3K9ac_A549,2575.07984738,ENCFF001SSX
H3K9me3_HepG2,10880.2404795,ENCFF001SWJ
H3K4me3_GM12866,484.397272097,ENCFF001WXX
H3K4me3_DND-41,3084.71356018,ENCFF001STT
H3K4me3_fibroblast of pedal digit skin,747.016562111,ENCFF001WVG
H3K4me2_DND-41,3372.11106316,ENCFF001STS
H3K9me1_endothelial cell of umbilical vein,64091.0637317,ENCFF001SYR
H3K27me3_HepG2,126.872468084,ENCFF001XCT
H3K9ac_K562,3942.31361803,ENCFF001SZL
H3K36me3_HepG2,12534.0560409,ENCFF001SWM
H3K4me3_fibroblast of skin of abdomen,896.606648732,ENCFF001WVN
H3K4me3_fibroblast of upper leg skin,765.999716286,ENCFF001WUP
H2AFZ_A549,6659.45967742,ENCFF001SSQ
H3K4me3_GM12864,384.500774584,ENCFF001WXQ
H3K9ac_HeLa-S3,4581.74565702,ENCFF001SWC
H3K4me3_bronchial epithelial cell,921.80837734,ENCFF001XIW
H3K4me3_fibroblast of mammary gland,939.495888627,ENCFF001XDV
H3K9ac_fibroblast of lung,4368.56177257,ENCFF001TCT
H3K27ac_K562,2783.17026656,ENCFF001SZE
H3K4me3_A549,1908.51011442,ENCFF001SSV
H4K20me1_HeLa-S3,2229.74701647,ENCFF001SWD
H3K79me2_fibroblast of lung,10559.783037,ENCFF001TCS
H3K27me3_mammary epithelial cell,132.823862595,ENCFF001XDQ
H3K79me2_DND-41,12546.3204199,ENCFF001STZ
H3K27me3_K562,142.560950142,ENCFF001XGO
H3K4me3_kidney epithelial cell,1099.59987247,ENCFF001XEP
H3K9ac_fibroblast of dermis,2356.86378431,ENCFF001TBR
H3K36me3_cardiac mesoderm,275.135740418,ENCFF001XAB
H3K9ac_H1-hESC,6704.36682078,ENCFF001SVE
H3K4me3_cardiac mesoderm,655.132375703,ENCFF001WYW
H3K4me3_Jurkat,935.031378757,ENCFF001XFN
H3K4me3_CD14-positive monocyte,2360.18606826,ENCFF001TAL
H3K4me1_myotube,2751.38621076,ENCFF001SXZ
H3K4me3_foreskin fibroblast,925.434692753,ENCFF001WWH
H3K27me3_cardiac mesoderm,279.514318067,ENCFF001WZI
H3K4me2_CD14-positive monocyte,1031.03342538,ENCFF001TAK
H3K27me3_Caco-2,151.099980977,ENCFF001WWO
H3K4me2_H1-hESC,2168.7775771,ENCFF001SVB
H3K4me3_endothelial cell of umbilical vein,773.701512411,ENCFF001XFG
H3K27me3_endothelial cell of umbilical vein,252.522844843,ENCFF001XEY
H3K4me3_keratinocyte,937.04338911,ENCFF001XHX
H3K36me3_cardiac mesoderm,233.675004367,ENCFF001XAL
H3K4me3_choroid plexus epithelial cell,962.936200397,ENCFF001XBR
H2AFZ_myotube,2171.6464122,ENCFF001SXT
H3K4me3_cardiac fibroblast,390.510171244,ENCFF001XBI
H3K9me3_astrocyte,18757.8779046,ENCFF001TAY
H3K79me2_skeletal muscle myoblast,11240.5957627,ENCFF001SXO
H3K79me2_GM12878,10181.7255671,ENCFF001SUN
H3K4me3_fibroblast of lung,739.716904886,ENCFF001XEE
H3K4me3_MCF-7,616.256672355,ENCFF001XHD
H3K4me3_astrocyte of the cerebellum,1198.67372269,ENCFF001XAW
H3K27me3_GM12878,170.794234125,ENCFF001WYB
H3K36me3_H7-hESC,335.55059432,ENCFF001XAP
H3K27ac_HeLa-S3,2853.76867294,ENCFF001SVW
H3K27me3_GM12878,201.235017001,ENCFF001WYE
H3K4me3_cardiac muscle cell,1097.57331835,ENCFF001XBN
H2AFZ_skeletal muscle myoblast,2860.82692988,ENCFF001SXH
H3K27me3_GM12878,24666.5441347,ENCFF001SUI
H3K36me3_fibroblast of dermis,15126.5871577,ENCFF001TBN
H3K36me3_kidney epithelial cell,185.952292292,ENCFF001XEL
H3K4me3_foreskin fibroblast,746.35472633,ENCFF001XHM
H3K4me3_GM12878,1198.92501341,ENCFF001WYK
H3K36me3_HeLa-S3,21517.7633299,ENCFF001SVY
H3K27me3_CD14-positive monocyte,3265.91724708,ENCFF001TAP
H3K4me3_Caco-2,962.713967934,ENCFF001WWT
H3K27ac_GM12878,2963.16854233,ENCFF001SUG
H3K27me3_H7-hESC,276.887511512,ENCFF001WZU
H3K4me2_astrocyte,2163.03723832,ENCFF001TAW
H3K36me3_Caco-2,193.934177419,ENCFF001WWS
H3K4me2_mammary epithelial cell,2150.39301628,ENCFF001SXA
H2AFZ_fibroblast of dermis,3145.19814086,ENCFF001TBI
H3K4me3_NB4,916.860096341,ENCFF001XHJ
H3K4me3_fibroblast of villous mesenchyme,853.898425027,ENCFF001XFJ
H3K27me3_Caco-2,168.554085335,ENCFF001WWL
H3K27me3_cardiac mesoderm,263.257348352,ENCFF001WZM
H3K4me3_retinal pigment epithelial cell,1042.17539201,ENCFF001XET
H2AFZ_keratinocyte,3708.39465316,ENCFF001TBV
H3K36me3_cardiac mesoderm,344.61891742,ENCFF001XAF
H3K4me3_cardiac mesoderm,529.471148178,ENCFF001WYS
H3K4me1_H1-hESC,3234.5742761,ENCFF001SVA
H3K79me2_fibroblast of dermis,9968.31212659,ENCFF001TBQ
H4K20me1_H1-hESC,15308.4662372,ENCFF001SVF
H3K27ac_CD14-positive monocyte,5021.47074578,ENCFF001TAO
H3K36me3_myotube,9790.59262439,ENCFF001SXY
H3K27ac_H1-hESC,9499.77397359,ENCFF001SUX
H3K4me3_cardiac mesoderm,708.944963303,ENCFF001WYZ
H3K4me3_WI38,800.977976336,ENCFF001XKB
H3K27ac_myotube,1971.21866291,ENCFF001SXW
H3K36me3_foreskin fibroblast,284.608000685,ENCFF001WWE
H3K27me3_cardiac mesoderm,271.922890663,ENCFF001WZD
H2AFZ_H1-hESC,4194.35128097,ENCFF001SUV
H3K4me3_HCT116,833.451513378,ENCFF001XBV
H3K36me3_endothelial cell of umbilical vein,351.304187617,ENCFF001XFD
H3K9ac_skeletal muscle myoblast,3078.81101195,ENCFF001SXP
H4K20me1_GM12878,30159.7823999,ENCFF001SUQ
H3K27ac_keratinocyte,2486.49095619,ENCFF001TBX
H3K4me1_astrocyte,2412.85019073,ENCFF001TBC
H3K4me3_fibroblast of pulmonary artery,950.021520779,ENCFF001XEA
H3K4me3_H7-hESC,731.425714331,ENCFF001XAS
H3K36me3_GM12878,295.57065383,ENCFF001WYF
H2AFZ_HeLa-S3,7699.85648689,ENCFF001SVT
H3K4me3_B cell,778.969502488,ENCFF001WWY
H3K36me3_skeletal muscle myoblast,16083.7918178,ENCFF001SXK
H3K36me3_GM12878,17213.8294275,ENCFF001SUJ
H3K36me3_cardiac mesoderm,281.615114358,ENCFF001WZX
H3K27ac_astrocyte,2453.64638216,ENCFF001TAZ
H3K4me1_skeletal muscle myoblast,2560.23166029,ENCFF001SXL
H3K4me3_GM12878,3221.8531909,ENCFF001SUM
H3K4me3_astrocyte,2448.2329066,ENCFF001TBD
H3K4me3_brain microvascular endothelial cell,1034.18398742,ENCFF001XBD
H3K4me3_mammary epithelial cell,2261.51147482,ENCFF001SXB
H3K36me3_Caco-2,200.124495447,ENCFF001WWP
H3K27me3_cardiac mesoderm,228.39445756,ENCFF001WZQ
H3K9me3_fibroblast of dermis,23951.894756,ENCFF001TBJ
H3K27me3_kidney epithelial cell,282.443296381,ENCFF001XEH
H3K4me3_astrocyte of the spinal cord,1045.30549326,ENCFF001XAZ
H3K27me3_CD14-positive monocyte,326.996739273,ENCFF001XHI
H3K4me3_cardiac mesoderm,377.28512126,ENCFF001WYO
H3K36me3_kidney epithelial cell,169.338406492,ENCFF001XEO
H3K27me3_fibroblast of dermis,9065.55143698,ENCFF001TBM
H3K4me2_HeLa-S3,3265.99472924,ENCFF001SVZ
H3K36me3_GM12878,277.47911975,ENCFF001WYH
H4K20me1_CD14-positive monocyte,7501.40657617,ENCFF001TAS
H4K20me1_mammary epithelial cell,38753.544699,ENCFF001SXE
H2AFZ_GM12878,3020.58024497,ENCFF001SUD
H3K9me3_fibroblast of lung,20169.3495891,ENCFF001TCL
H3K36me3_A549,17046.8038519,ENCFF001STE
H3K4me3_BE2C,591.751265548,ENCFF001WVV
H3K9ac_myotube,2745.1083226,ENCFF001SYD
H3K36me3_K562,266.78537669,ENCFF001XGP
H3K4me3_SK-N-SH,1077.68726669,ENCFF001XJQ
H3K27me3_A549,21503.1868642,ENCFF001STB
H3K79me2_myotube,10609.7589355,ENCFF001SYC
H3K9me3_osteoblast,15155.3185939,ENCFF001TDG
H3K4me3_HEK293,805.945728833,ENCFF001XCE
H3K4me3_HFF-Myc,1080.89299393,ENCFF001XDI
H2AFZ_fibroblast of lung,3375.85583517,ENCFF001TCK
H3K4me1_endothelial cell of umbilical vein,2259.03527623,ENCFF001SYM
H3K4me3_LNCaP clone FGC,815.134816775,ENCFF001XGY
H3K27me3_HeLa-S3,127.460536394,ENCFF001XCK
H3K4me3_WI38,1008.18625524,ENCFF001XJX
H4K20me1_HepG2,13825.3836264,ENCFF001SWR
H3K4me3_Panc1,779.447646285,ENCFF001XIF
H3K9ac_keratinocyte,3118.12198273,ENCFF001TCE
H2AFZ_mammary epithelial cell,2346.61919903,ENCFF001SWU
H3K27me3_GM06990,149.405602396,ENCFF001WXG
H3K4me2_keratinocyte,2102.64360848,ENCFF001TCB
H3K4me2_B cell,3052.5726824,ENCFF001STK
H3K27ac_endothelial cell of umbilical vein,2551.31202573,ENCFF001SYJ
H3K36me3_HeLa-S3,189.177312126,ENCFF001XCL
H3K4me3_fibroblast of lung,771.30846504,ENCFF001WVC
H3K9ac_endothelial cell of umbilical vein,2398.94334975,ENCFF001SYQ
H3K4me3_SK-N-MC,907.62816497,ENCFF001XJD
